,Comments,Date,Disposition,Location,Occured,Reported,UCPDI
0,"During the course of a verbal argument, boyfriend punched and choked girlfriend / Suspect arrested by UCPD",Domestic Battery,Arrest,5500 S. Ellis (Public Way),9/1/15 1:15 AM,9/1/15 1:18 AM,E00535
1,Delivery truck driver fell from rear lift gate of truck landing on the pavement / Transported to ER for evaluation and treatment,Injured Person,Closed,920 E. 58th St. (Cummings),9/1/15 10:30 AM,9/1/15 10:31 AM,E00536
2,Visitor lost wallet while in the hospital,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),8/21/15 to 8/22/15 5:00 PM to 7:30 AM,9/2/15 12:22 PM,E00538
3,"Cash taken from unattended, unsecured bag left in patient's room",Theft,Open,5700 S. Maryland (CCD),9/2/15 10:30 AM to 10:50 AM,9/2/15 12:21 PM,E00539
4,Unknown suspect followed victim into the vestibule of a private apartment building off-campus and attempted to forcibly take victim's purse / Victim resisted and suspect fled without property / Victim reported no injuries / CPD case,Information / Attempt Robbery,CPD,54th Pl. between University and Woodlawn,9/2/15 5:45 PM,9/2/15 5:45 PM,
5,Unknown person(s) entered off-campus private apartment via unsecured door and took property while the resident was away from home / CPD case,Information / Burglary,CPD,Greenwood between 53rd & 54th,9/2/15 10:00 AM to 6:15 PM,9/2/15 6:30 PM,
6,"Laptop computer taken from unattended, unsecured back pack left on floor of OR9",Theft,Open,5700 S. Maryland (CCD),8/26/15 2:00 PM to 6:00 PM,9/4/15 4:01 PM,E00540
7,"Unsecured, unattended shoulder bag containing wallet taken from counter in patient treatment area of ER / Subsequent unauthorized use of credit card reported",Theft,Open,901 E. 58th St. (Mitchell ER),9/5/15 10:15 AM to 11:35 AM,9/5/15 11:38 AM,E00541
8,Staff member riding a bicycle was struck by another cyclist and fell to the pavement  / Victim treated and released from ER,Injured Person,Closed,1355 E. 53rd St. (Public Way),9/5/15 10:32 PM,9/5/15 10:32 PM,E00542
9,"Four unknown suspects, one displaying what appeared to be a replica handgun, took property from 3 victim's walking off-campus / No injuries reported / CPD case HY412213",Information / Aggravated Robbery,CPD,5400 S. University (Public Way),9/6/15 12:05 AM,9/6/15 12:10 AM,
10,"Victim, not affiliated with the University, was fatally shot while attending a party off-campus / CPD case",Information / Homicide,CPD,6129 S. Cottage Grove,9/6/15 2:00 AM,9/6/15 2:00 AM,
11,"UCPD officer recovered an unoccupied, parked vehicle that had been previously been reported stolen to CPD / CPD case HY405276",Recovered Motor Vehicle,CPD,820 E. 56th St.,9/6/15 8:07 AM,9/6/15 8:07 AM,E00543
12,Victim reported being sexually fondled / CPD case HY412617,Information / Criminal Sexual Abuse,CPD,5700 S. Maryland (CCD),9/4/15 12:00 PM to 3:00 PM,9/6/15 9:58 AM,E00544
13,Individual sold and shipped computer to subject in Nigeria via Market Place website / Promised payment not forthcoming,Theft,Open,5050 S. Lake Shore Dr.,8/30/15 to 9/7/15 3:55 PM to 4:45 PM,9/7/15 4:46 PM,E00545
14,Water overflowed from faulty emergency shower in  room 401,Information,Closed,5747 S. Ellis (Jones Lab),9/7/15 5:05 PM,9/7/15 5:05 PM,E00546
15,A contract employee suffered an injury to the left foot when an item fell from a cart being pushed by another employee and struck victim on the left foot / Transported to ER by CFD EMS for evaluation and treatment,Injured Person,Closed,5640 S. University (Bartlett),9/8/15 4:45 PM,9/8/15 5:01 PM,E00547
16,"During an argument in a locker room, one staff member pushed another / Suspect left before police arrived / Victim refused to prosecute the known offender / Exceptionally Cleared and Closed",Battery,Ex. Cleared,5815 S. Maryland (Mitchell Hospital),9/9/15 7:30 AM,9/9/15 7:37 AM,E00548
17,Secured bicycle taken from bike rack,Theft,Open,5838 S. Kenwood (Lab School Bike Rack),9/9/15 7:45 AM to 3:30 PM,9/9/15 4:04 PM,E00549
18,UC owned vehicle made contact with concrete archway support base in driveway / Minor paint damage to vehicle / No damage to support base,Information / Damage to Vehicle,Closed,5850 S. Woodlawn (Rockefeller Chapel),9/10/15 12:01 AM,9/10/15 12:25 AM,E00550
19,Unauthorized individual gained access to the building and disregarded orders to leave the premises / Arrested by UCPD,Criminal Trespass to Land,Arrest,6031 S. Ellis (Granville-Grossman RH),9/11/15 3:48 AM,9/11/15 3:48 AM,E00552
20,Unknown person forced entry to 2nd floor office and took a power cord from a desk,Burglary,Open,5811 S. Ellis (Cobb Hall),9/11/15 10:30 AM to 12:05 PM,9/11/15 1:46 PM,E00553
21,"Unattended, unsecured stereo equipment taken from top of lockers in men's locker room",Theft,Open,5530 S. Ellis (Ratner A.C.),9/10/15 to 9/11/15 5:30 PM to 8:30 AM,9/11/15 4:25 PM,E00554
22,"3-4 unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / Victim reported no injuries",Armed Robbery,Open,900 E. 59th St. (Public Way),9/11/15 9:00 PM,9/11/15 9:13 PM,E00555
23,UCPD officer arrested an individual for obstructing and resisting a peace officer,Obstructing a Peace Officer,Arrest,4922 S. Cornell (Alley),9/13/15 12:15 AM,9/13/15 12:23 AM,E00556
24,"Unattended, unsecured purse taken from 2nd floor work cubicle",Theft,Open,1427 E. 60th St. (Press Building),9/14/15 9:20 AM to  9:30 AM,9/14/15 9:40 AM,E00557
25,Individual reported losing a plastic I.D. jacket while in the hospital,Lost Property,Closed,5758 S. Maryland (DCAM),9/14/2015  3:05:00 PM to 3:10 PM,9/14/15 3:11 PM,E00558
26,UC owned vehicle stopped in traffic struck in rear by another vehicle / No injuries reported / No visible damage / Oak Lawn PD report,Traffic Crash,Closed,"9400 Southwest Hwy. Oak Lawn, IL",9/11/15 3:35 PM,9/14/15 8:28 PM,E00560
27,"Laptop computer taken from unattended, unsecured bag in 3rd floor library / Follow up investigation revealed the computer was found and kept for safekeeping / Returned to owner on 9/22/15 / No theft involved",Theft,Unfounded,1111 E. 60th St. (Law School),9/15/15 8:30 AM to 9:00 AM,9/15/15 6:25 PM,E00561
28,CPD and UCPD officers responded to a call of shots fired from a white car fleeing east on 62nd St. / No suspects on the scene / No injuries or property damage reported,Information / Shots Fired,CPD,Kimbark between 61st & 62nd,9/15/15 8:16 PM,9/15/15 8:16 PM,
29,Individual reports losing iPhone while on campus / Phone was found on 9/16/15 and returned to owner,Lost Property,Closed,1100 E. 57th St.,9/15/16 2:00 PM to 6:20 PM,9/16/15 10:01 AM,E00562
30,Visitor left cell phone in patient's room for extended period of time / Phone is missing,Lost Property,Closed,5700 S. Maryland (CCD),8/11/15 to 9/1/15 3:00 PM to 3:00 PM,9/16/15 12:49 PM,E00563
31,iPhone lost between 1155 E. 60th St. and 5706 S. University,Lost Property,Closed,5706 S. University (Court Yard),9/15/15 3:10 PM to 4:40 PM,9/16/15 12:47 PM,E00564
32,Secured bicycle taken from bike rack,Theft,Open,5747 S. Ellis (Jones Lab Bike Rack),9/16/15 10:30 AM to 3:00 PM,9/16/15 3:31 PM,E00565
33,Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),9/16/15 8:00 AM to 5:30 PM,9/16/15 5:33 PM,E00566
34,"Three unknown suspects, one armed with a handgun, took property from a victim walking off campus through the park / The victim reported no injuries / CPD case",Information / Armed Robbery,CPD,5200 S. Hyde Park (Harold Washington Park),9/16/15 11:15 PM,9/16/15 11:23 PM,
35,CPD and UCPD officers responded to a call of shots fired / Cook County Sheriff's police arrested a suspect for firing a handgun,Information / Shots Fired,CPD,5100 S. Drexel,9/16/16 3:52 PM,9/16/15 3:52 PM,
36,"Three unknown suspects, one armed with a handgun, took cell phones from two victims walking on Midway Pl. / Victims reported no injuries",Armed Robbery,Open,900 E. Midway Pl.,9/17/15 12:50 AM,9/17/15 12:55 AM,E00567
37,"32"" Samsung TV and snack items taken from lounge in room 517",Theft,Open,1005 E. 60th St. (Burton-Judson RH),9/15/15 to 9/16/15 8:00 PM to 1:00 PM,9/17/15 4:26 PM,E00569
38,Unknown person opened and took items from parcels delivered to common area of off-campus apartment building,Theft,Open,"5110 S. Kenwood (Shelbyrne Apts,)",9/17/15 to 9/18/15 7:00 PM to 8:20 AM,9/18/15 8:10 AM,E00570
39,Secured bicycle taken from bike rack,Theft,Open,1101 E. 56th St. (Max Palevsky RH),9/18/15 9:00 AM to 11:00 AM,9/18/15 1:00 PM,E00571
40,Secured bicycle taken from bike rack,Theft,Open,1116 E. 59th St. (Harper Library),9/15/15 to 9/18/15 9:00 AM to 2:50 PM,9/18/15 2:58 PM,E00572
41,UCPD officers detained a suspect for possession of a replica handgun / Suspect arrested and charged by CPD,Assist Other Agency,CPD,820 E. Midway Pl.,9/18/15 9:00 PM,9/18/15 9:00 PM,E00573
42,"Two unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus / CPD case HY429042",Information / Armed Robbery,CPD,5400 S. Dorchester,9/18/15 10:20 PM,9/18/15 10:25 PM,
43,Number generated in error,Void,Void,Void,Void,Void,E00574
44,Staff member struck in face while attending to patient / Staff member refused to sign complaint,Battery,Ex. Cleared,5700 S. Maryland (CCD),9/19/15 10:00 PM,9/19/15 10:39 PM,E00575
45,"Two victims, not affiliated with the University, suffered gunshot wounds, one fatal, during a drive-by shooting off-campus / Second victim transported to hospital by CFD EMS / CPD case",Information / Homicide,CPD,44th St. between Greenwood & University,9/19/15 7:30 PM,9/19/15 7:30 PM,
46,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,Ingleside between 51st & 52nd,9/20/15 2:20 AM,9/20/15 2:20 AM,E00576
47,"Fire and smoke reported on 2nd floor of building / CFD arrived, extinguished fire and vented building / Fire originated from a paper shredder in room 231 / No personal injuries",Fire,Closed,5835 S. Greenwood (Stuart Hall),9/20/18 9:28 AM,9/20/15 9:28 AM,E00577
48,Unknown person(s) forced entry to building being renovated / Took 12 extension cords and a ladder,Burglary,Open,5730 S. Woodlawn (Human Development),9/19/15 to 9/21/15 3:30 PM to 6:15 AM,9/21/15 7:25 AM,E00578
49,"Fraudulent check deposited to account / Pursuant to follow up by UCPD Investigations, suspect arrested and charged with felony deceptive practice on 2/2/16",Deceptive Practice,Arrest,5525 S. Ellis (Maroon Financial),9/4/15 to 9/5/15 2:55 PM to 3:50 PM,9/21/15 9:52 AM,E00579
50,Secured bicycle taken from bike rack / Complainant discovered she had secured bike to another rack / Incident unfounded,Theft,Unfounded,5747 S. Ellis (Jones Lab Bike Rack),9/21/15 9:00 AM to 12:00 PM,9/21/15 12:22 PM,E00580
51,Information relating to misplaced funds from a student group account / Matter handled internally,Information,Closed,5801 S. Ellis (Campus and Student Life),4/15/15 to 9/14/15 12:00 PM to 12:00 PM,9/21/15 3:38 PM,E00581
52,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),9/22/15 2:22 AM,9/22/15 2:22 AM,E00582
53,Staff member directing traffic in front of Shapiro School was struck by a vehicle that drove off southbound on Stony Island / Victim refused medical attention / CPD case,Information,CPD,5800 S. Stony Island (Public Way),9/22/15 2:15 PM,9/22/15 3:52 PM,E00583
54,Unknown person(s) gained entry to off-campus apartment by pushing screen on open first floor bedroom window / Took wallet / CPD case HY434370,Information / Burglary,CPD,5345 S. Harper (Harper Crest Apts.),9/22/15 8:00 PM to 8:55 PM,9/22/15 9:00 PM,
55,Individual reports losing wallet at unknown location / CPD case HY434978,Lost Property,CPD,6054 S. Drexel,9/23/15 8:00 AM to 8:45 AM,9/23/15 12:53 PM,E00584
56,"A mini-Mac computer, keyboard and mouse taken from a classroom",Theft,Open,1362 E. 59th St. (Lab School),7/30/15 to 9/22/15 8:00 AM to 8:15 AM,9/23/15 1:16 PM,E00585
57,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,1414 E. 59th St. (I-House),9/24/15 12:33 AM,9/24/15 12:33 AM,E00586
58,"Cash taken from unattended, unsecured purse left on the floor in the emergency room",Theft,Open,901 E. 58th St. (Mitchell ER),9/23/15  8:00 AM to 5:00 PM,9/24/15 8:43 AM,E00587
59,Individual soliciting funds from passersby was given a written warning of trespass to land,Criminal Trespass to Land,Closed,5801 S. Ellis (Main Quad),9/24/15 10:55 AM,9/24/15 10:56 AM,E00588
60,Staff member opened a package that contained a white powdery substance - analysis revealed to be a controlled substance / CPD case HY436588,Information / Suspicious Package,CPD,940 E. 57th St. (Biopsychological Research),9/24/15 2:20 PM,9/24/15 2:44 PM,E00589
61,Ill person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1414 E. 59th St. (I-House),9/24/15 10:59 PM,9/24/15 10:59 PM,E00590
62,Underage individual became ill after consuming alcoholic beverages / Escorted to ER for evaluation and treatment,Liquor Law Violation,Referred,901 E. 58th St. (Mitchell ER),9/25/15 2:40 AM,9/25/15 2:40 AM,E00591
63,UC owned vehicle involved in traffic crash / No injuries reported / No visible damage to vehicles involved / ISP case,Information / Traffic Crash,ISP,"Interstate 290 - Oak Park, IL",9/25/15 7:46 AM,9/25/15 7:46 AM,E00592
64,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,5709 S. Ellis (Snell RH),9/26/15 1:26 AM,9/26/15 1:26 AM,E00593
65,Individual reported losing purse while in ER,Lost Property,Closed,901 E. 58th St. (Mitchell ER),9/25/15 to 9/26/15 8:20 PM to 10:30 AM,9/26/15 11:25 AM,E00594
66,Staff member reported being inappropriately touched on the side by a patient while being treated but did not want to place charges,Information,Closed,5700 S. Maryland (CCD),9/26/15 2:20 PM,9/26/15 3:04 PM,E00595
67,Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St.(Gordon Center Bike Rack),9/26/15 8:30 PM to 10:30 PM,9/26/15 11:09 PM,E00596
68,"Four unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / The victim reported no injuries",Armed Robbery,Open,815 E. 59th St. (Public Way),9/27/15 12:00 AM,9/27/15 12:05 AM,E00597
69,Secured bicycle taken from bike rack,Theft,Open,1158 E. 58th St. (Oriental Institute Bike Rack),9/27/15 5:40 PM to 7:15 PM,9/28/15 8:21 AM,E00598
70,UC owned vehicle parked at the curb was sideswiped by a passing vehicle / No injuries reported / MVA00418,Information / Traffic Crash,Closed,5505 S. Ellis (Public Way),9/28/15 8:41 AM,9/28/15 8:41 AM,E00599
71,Letters on building signage near the south entrance were loosened / Cause unknown at this time,Damage to Property,Closed,5757 S. University (Saieh Hall),9/25/15 to 9/28/15 4:35 PM to 8:00 AM,9/28/15 11:30 AM,E00600
72,Number generated in error,Void,Void,Void,Void,Void,E00601
73,Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St. Gordon Center (Bike Rack),9/25/15 to 9/28/15 9:00 AM to 11:00 AM,9/28/15 2:51 PM,E00602
74,"Unknown person(s) removed two 10"" metal letters from a sign on the northwest corner of the building",Criminal Damage to Property,Open,5807 S. Woodlawn (Booth School),9/23/15 to 9/25/15 9:00 AM to 9:30 PM,9/28/15 2:51 PM,E00603
75,Secured bicycle taken from bike rack / Complainant found he had secured bicycle to bike rack at another location / Incident Unfounded,Theft,Unfounded,6031 S. Ellis (Granville-Grossman RH,9/26/15 to 9/27/15 10:00 PM to 7:00 AM,9/28/15 2:50 PM,E00604
76,Unattended back pack found in the building / Turned over to UCPD for safekeeping,Found Property,Closed,1050 E. 59th St. (Wieboldt Hall),9/28/15 9:00 AM,9/28/15 5:47 PM,E00605
77,Individual reports losing iPhone while in the Reynolds Club,Lost Property,Closed,5706 S. University (Reynolds Club),9/28/15 6:45 PM to 7:30 PM,9/28/15 11:42 PM,E00606
78,Vehicle struck pedestrian in roadway and drove off without stopping / Victim taken to ER for evaluation and treatment / CPD case HY442790,Information / Hit & Run / Personal Injury,CPD,5700 S. Maryland (Public Way),9/29/15 9:15 AM,9/29/15 9:19 AM,E00607
79,Unattended laptop computer taken from unsecured second floor room,Theft,Open,5848 S. University (Kelly Hall),9/29/15 11:50 AM to 12:00 PM,9/29/15 12:15 PM,E00608
80,Number generated in error,Void,Void,Void,Void,Void,E00609
81,Laptop computer and credit cards taken from bag left unattended and unsecured in shared room / Unauthorized use of credit cards reported,Theft,Open,5640 S. Ellis (Eckhardt Research Center),9/29/15 10:30 AM to 6:20 PM,9/29/15 10:54 PM,E00610
82,"Two suspects, one armed with a handgun, took property from a victim walking on the sidewalk off-campus / UCPD officers detained two suspects in possession of a replica handgunand the victim's property / Suspects turned over to and arrested by CPD, charged with armed robbery / Victim reported no injuries / CPD case HY443656",Assist Other Agency / Armed Robbery,CPD / Arrest,5635 S. Kimbark (Public Way),9/29/15 9:30 PM,9/29/15 9:43 PM,E00611
83,Unknown person(s) forced entry via basement door and took tools,Burglary,Open,1108 E. 53rd St. (Neighborhood Apts.),9/29/15 to 9/30/15 11:00 AM to 10:45 AM,9/30/15 10:56 AM,E00612
